"","Entity","Code","Year","num_objects","cum_num_objects"
"340","China","CHN",2011,20,203
"341","France","FRA",2011,19,90
"342","India","IND",2011,7,63
"343","Italy","ITA",2011,1,27
"344","Japan","JPN",2011,4,160
"345","Russia","RUS",2011,24,3360
"346","United Kingdom","GBR",2011,2,54
"347","United States","USA",2011,29,2056
"348","Canada","CAN",2012,2,44
"349","China","CHN",2012,26,229
"350","France","FRA",2012,5,95
"351","Germany","DEU",2012,1,65
"352","India","IND",2012,2,65
"353","Italy","ITA",2012,4,31
"354","Japan","JPN",2012,9,169
"355","Russia","RUS",2012,23,3383
"356","United Kingdom","GBR",2012,4,58
"357","United States","USA",2012,33,2089
"358","Canada","CAN",2013,4,48
"359","China","CHN",2013,19,248
"360","France","FRA",2013,8,103
"361","Germany","DEU",2013,6,71
"362","India","IND",2013,5,70
"363","Italy","ITA",2013,1,32
"364","Japan","JPN",2013,5,174
"365","Russia","RUS",2013,29,3412
"366","United Kingdom","GBR",2013,7,65
"367","United States","USA",2013,80,2169
"368","Canada","CAN",2014,4,52
"369","China","CHN",2014,25,273
"370","France","FRA",2014,2,105
"371","Germany","DEU",2014,1,72
"372","India","IND",2014,4,74
"373","Italy","ITA",2014,2,34
"374","Japan","JPN",2014,24,198
"375","Russia","RUS",2014,35,3447
"376","United Kingdom","GBR",2014,10,75
"377","United States","USA",2014,95,2264
"378","Canada","CAN",2015,2,54
"379","China","CHN",2015,38,311
"380","India","IND",2015,4,78
"381","Italy","ITA",2015,1,35
"382","Japan","JPN",2015,4,202
"383","Russia","RUS",2015,27,3474
"384","United Kingdom","GBR",2015,7,82
"385","United States","USA",2015,104,2368
"386","Canada","CAN",2016,3,57
"387","China","CHN",2016,38,349
"388","France","FRA",2016,2,107
"389","Germany","DEU",2016,2,74
"390","India","IND",2016,12,90
"391","Italy","ITA",2016,1,36
"392","Japan","JPN",2016,11,213
"393","Russia","RUS",2016,14,3488
"394","United Kingdom","GBR",2016,1,83
"395","United States","USA",2016,105,2473
"396","China","CHN",2017,32,381
"397","France","FRA",2017,2,109
"398","Germany","DEU",2017,2,76
"399","India","IND",2017,9,99
"400","Italy","ITA",2017,4,40
"401","Japan","JPN",2017,16,229
"402","Russia","RUS",2017,25,3513
